method,steps,snr_db,nmse_db,active_ratio,per_frame_ms
LS,0,0,0.007482037118965496,1.0,0.0
Fixed sparse denoiser,5,0,-7.3513724875161,1.0,0.41907031254595495
Fixed sparse denoiser,3,0,-6.581147528788714,1.0,0.22319617710309103
LS,0,5,-5.002593700703151,1.0,0.0
Fixed sparse denoiser,5,5,-12.186155841370299,1.0,0.34112977073164075
Fixed sparse denoiser,3,5,-11.4655589397575,1.0,0.2047387188213179
LS,0,10,-9.998033647608336,1.0,0.0
Fixed sparse denoiser,5,10,-16.991121442856524,1.0,0.35080252079448354
Fixed sparse denoiser,3,10,-16.32156870489913,1.0,0.21144444796542908
Adaptive DD inference,5,0,-7.1750018611568125,0.7041015625,0.47625260428200517
Adaptive DD inference,5,5,-11.849441868640977,0.6379557291666667,0.47527734386676457
Adaptive DD inference,5,10,-16.67178263830628,0.6423014322916666,0.4773914999229116
